name,total_ops,threads,spent,throughput,latency
FxLeapfrogMap,8388608,1,578726902,14494933.570584213,68
FxLeapfrogMap,8388608,2,317185120,26447041.399672218,75
FxLeapfrogMap,8388608,3,224395858,37383078.61279685,80
FxLeapfrogMap,8388608,4,173094540,48462580.044408105,82
FxLeapfrogMap,8388608,5,144785927,57938006.640659206,86
FxLeapfrogMap,8388608,6,140557988,59680763.21638867,100
FxLeapfrogMap,8388608,7,125194901,67004390.21873583,104
FxLeapfrogMap,8388608,8,102787191,81611414.0136391,98
FxLeapfrogMap,8388608,9,97830675,85746193.61463058,104
FxLeapfrogMap,8388608,10,94043492,89199239.85808608,112
FxLeapfrogMap,8388608,11,91175516,92005051.00514045,119
FxLeapfrogMap,8388608,12,88365591,94930706.68197082,126
FxLeapfrogMap,8388608,13,92975753,90223609.15969135,144
FxLeapfrogMap,8388608,14,85175503,98486157.45773758,142
FxLeapfrogMap,8388608,15,72043425,116438217.64442766,128
FxLeapfrogMap,8388608,16,66465335,126210271.86577785,126
FxLeapfrogMap,8388608,17,75976910,110409965.34341817,153
FxLeapfrogMap,8388608,18,74516057,112574501.89561158,159
FxLeapfrogMap,8388608,19,73900262,113512561.0244792,167
FxLeapfrogMap,8388608,20,70589832,118835925.26470384,168
FxLeapfrogMap,8388608,21,68988208,121594809.3622029,172
FxLeapfrogMap,8388608,22,66511005,126123609.16813691,174
FxLeapfrogMap,8388608,23,63871992,131334685.78841254,175
FxLeapfrogMap,8388608,24,62750262,133682437.85181327,179
FxLeapfrogMap,8388608,25,61245359,136967243.50983068,182
FxLeapfrogMap,8388608,26,58971398,142248755.9138415,182
FxLeapfrogMap,8388608,27,57324763,146334804.73351455,184
FxLeapfrogMap,8388608,28,72209357,116170650.84792265,241
FxLeapfrogMap,8388608,29,65555656,127961620.88592325,226
FxLeapfrogMap,8388608,30,69497843,120703141.82268937,248
FxLeapfrogMap,8388608,31,63253986,132617855.89290768,233
FxLeapfrogMap,8388608,32,59764725,140360522.0303448,227
FxLeapfrogMap,8388608,33,66146602,126818426.74246517,260
FxLeapfrogMap,8388608,34,60308260,139095506.9836205,244
FxLeapfrogMap,8388608,35,63817131,131447588.89270657,266
FxLeapfrogMap,8388608,36,62199737,134865650.63771895,266
FxLeapfrogMap,8388608,37,59248451,141583583.34127587,261
FxLeapfrogMap,8388608,38,61143647,137195087.4961711,276
FxLeapfrogMap,8388608,39,59597104,140755295.76067993,277
FxLeapfrogMap,8388608,40,61114177,137261244.63723043,291
FxLeapfrogMap,8388608,41,60080107,139623719.37852907,293
FxLeapfrogMap,8388608,42,60254940,139218593.5294268,301
FxLeapfrogMap,8388608,43,63486559,132132031.28555132,325
FxLeapfrogMap,8388608,44,63556839,131985922.08149306,333
FxLeapfrogMap,8388608,45,58468473,143472329.0960583,313
FxLeapfrogMap,8388608,46,62447219,134331170.13585505,342
FxLeapfrogMap,8388608,47,59559233,140844795.63395318,333
FxDashMap,8388608,1,849868399,9870478.782209668,101
FxDashMap,8388608,2,580190174,14458376.539138012,138
FxDashMap,8388608,3,438820939,19116243.675874364,156
FxDashMap,8388608,4,352450216,23800830.923593476,168
FxDashMap,8388608,5,304052471,27589343.288053725,181
FxDashMap,8388608,6,282436479,29700865.94232043,202
FxDashMap,8388608,7,238593546,35158570.466948,199
FxDashMap,8388608,8,224406189,37381357.60596157,214
FxDashMap,8388608,9,231387861,36253448.92228378,248
FxDashMap,8388608,10,207517767,40423565.27477476,247
FxDashMap,8388608,11,193397682,43374914.907201424,253
FxDashMap,8388608,12,176332208,47572749.72703796,252
FxDashMap,8388608,13,176557871,47511945.81407248,273
FxDashMap,8388608,14,168453069,49797893.56049072,281
FxDashMap,8388608,15,169322635,49542153.65240448,302
FxDashMap,8388608,16,170141363,49303754.54909222,324
FxDashMap,8388608,17,165872385,50572661.627792954,336
FxDashMap,8388608,18,163701606,51243284.68713985,351
FxDashMap,8388608,19,153794718,54544187.92198052,348
FxDashMap,8388608,20,155791895,53844957.723891854,371
FxDashMap,8388608,21,153465534,54661185.357749455,384
FxDashMap,8388608,22,145601403,57613510.770909265,381
FxDashMap,8388608,23,143731356,58363103.455310054,394
FxDashMap,8388608,24,146483042,57266751.737719916,419
FxDashMap,8388608,25,144344782,58115076.165344164,430
FxDashMap,8388608,26,138322728,60645189.12611382,428
FxDashMap,8388608,27,148230207,56591757.98088172,477
FxDashMap,8388608,28,144521953,58043832.275086954,482
FxDashMap,8388608,29,148994384,56301504.62583878,515
FxDashMap,8388608,30,139622930,60080446.67161762,499
FxDashMap,8388608,31,138007396,60783756.83575683,510
FxDashMap,8388608,32,141656378,59218004.28922445,540
FxDashMap,8388608,33,148628701,56440027.69021039,584
FxDashMap,8388608,34,144470103,58064664.07793729,585
FxDashMap,8388608,35,143533725,58443463.37420004,598
FxDashMap,8388608,36,142469855,58879880.23852484,611
FxDashMap,8388608,37,140182915,59840444.893017106,618
FxDashMap,8388608,38,146069908,57428721.047732845,661
FxDashMap,8388608,39,149966582,55936515.2431093,697
FxDashMap,8388608,40,168872232,49674288.66576477,805
FxDashMap,8388608,41,158065295,53070523.798408754,772
FxDashMap,8388608,42,143479165,58465687.33516117,718
FxDashMap,8388608,43,161935120,51802277.356511675,830
FxDashMap,8388608,44,171084202,49032043.29760383,897
FxDashMap,8388608,45,151406515,55404537.909085356,812
FxDashMap,8388608,46,146687053,57187105.66773742,804
FxDashMap,8388608,47,154620213,54252984.375335194,866
RwLock<FxHashMap>,8388608,1,814188087,10303034.561595103,97
RwLock<FxHashMap>,8388608,2,1344136712,6240888.984810349,320
RwLock<FxHashMap>,8388608,3,1822522744,4602745.30324325,651
RwLock<FxHashMap>,8388608,4,2280903467,3677756.6965748314,1087
RwLock<FxHashMap>,8388608,5,2430193803,3451826.759513797,1448
RwLock<FxHashMap>,8388608,6,3158610353,2655790.6998666767,2259
RwLock<FxHashMap>,8388608,7,3279800157,2557658.2713725385,2736
RwLock<FxHashMap>,8388608,8,4732511180,1772549.0085371546,4513
FxFlurry,8388608,1,2835829172,2958079.4509155294,338
FxFlurry,8388608,2,2228355005,3764484.55527848,531
FxFlurry,8388608,3,2285782549,3669906.39755733,817
FxFlurry,8388608,4,2059836885,4072462.271690993,982
FxFlurry,8388608,5,2361903089,3551630.9026682507,1407
FxFlurry,8388608,6,1846907520,4541975.117411401,1321
FxFlurry,8388608,7,1644886021,5099811.10721592,1372
FxFlurry,8388608,8,1629198741,5148916.328557365,1553
FxFlurry,8388608,9,1657504044,5060987.953764534,1778
FxFlurry,8388608,10,1472270336,5697736.207054843,1755
FxFlurry,8388608,11,1382316350,6068515.358296963,1812
FxFlurry,8388608,12,1301786390,6443920.496050048,1862
FxFlurry,8388608,13,1218877668,6882239.473436641,1888
FxFlurry,8388608,14,1297899034,6463220.774690861,2166
FxFlurry,8388608,15,1341589196,6252739.679934036,2398
FxFlurry,8388608,16,1181059619,7102611.811504157,2252
FxFlurry,8388608,17,929723169,9022694.367208999,1884
FxFlurry,8388608,18,1095137750,7659865.619644653,2349
FxFlurry,8388608,19,769056873,10907656.240398752,1741
FxFlurry,8388608,20,1051576401,7977174.071254192,2507
FxFlurry,8388608,21,1100449337,7622893.410857678,2754
FxFlurry,8388608,22,1221135687,6869513.428608855,3202
FxFlurry,8388608,23,1003167417,8362121.6736547975,2750
FxFlurry,8388608,24,1058428042,7925534.535299093,3028
FxFlurry,8388608,25,962484233,8715579.655630577,2868
FxFlurry,8388608,26,1838817573,4561957.707590387,5699
FxFlurry,8388608,27,924666693,9072034.348705582,2976
FxFlurry,8388608,28,908829283,9230125.125710765,3033
FxFlurry,8388608,29,881061163,9521027.997008648,3045
FxFlurry,8388608,30,851623960,9850131.50639867,3045
FxFlurry,8388608,31,865222862,9695314.777754914,3197
FxFlurry,8388608,32,901425565,9305935.315912634,3438
FxFlurry,8388608,33,846274492,9912396.13068711,3329
FxFlurry,8388608,34,962487462,8715550.416177785,3901
FxFlurry,8388608,35,918052294,9137396.698232094,3830
FxFlurry,8388608,36,1064080331,7883434.8832635265,4566
FxFlurry,8388608,37,968683087,8659806.403742857,4272
FxFlurry,8388608,38,993432218,8444066.789869301,4500
FxFlurry,8388608,39,923825605,9080293.89378096,4295
FxFlurry,8388608,40,884743656,9481399.434866363,4218
FxFlurry,8388608,41,976634237,8589303.633024285,4773
FxFlurry,8388608,42,968754908,8659164.387944449,4850
FxFlurry,8388608,43,863634496,9713146.057565538,4426
FxFlurry,8388608,44,1008685564,8316375.587585984,5290
FxFlurry,8388608,45,952025258,8811329.24731709,5107
FxFlurry,8388608,46,964780161,8694838.823494423,5290
FxFlurry,8388608,47,973653222,8615601.335728955,5455
FxEvmap,8388608,1,4472044047,1875788.3222611293,533
FxEvmap,8388608,2,8261538975,1015380.7935040335,1969
FxEvmap,8388608,3,10374340101,808591.9603880548,3710
FxEvmap,8388608,4,10637117289,788616.6686038879,5072
FxEvmap,8388608,5,10311624272,813509.8582653245,6146
FxEvmap,8388608,6,10341531367,811157.2360325849,7396
FxEvmap,8388608,7,8762333248,957348.6607479459,7311
FxEvmap,8388608,8,8951611869,937105.8668272115,8536
FxEvmap,8388608,9,8982528252,933880.5027562523,9637
FxEvmap,8388608,10,10144624291,826901.7914682279,12093
FxEvmap,8388608,11,10151310088,826357.1822041261,13311
FxEvmap,8388608,12,10286040780,815533.2240477467,14714
FxEvmap,8388608,13,10642650844,788206.6341328147,16493
FxEvmap,8388608,14,10495891608,799227.7658056393,17516
FxEvmap,8388608,15,10818543150,775391.6478116557,19345
FxEvmap,8388608,16,10698230920,784111.6968523988,20405
