name,total_ops,threads,spent,throughput,latency
LeapfrogMap,8388608,1,993058980,8447240.465012461,118
LeapfrogMap,8388608,2,506415234,16564683.360216608,120
LeapfrogMap,8388608,3,360793987,23250409.65829622,129
LeapfrogMap,8388608,4,272811990,30748677.8715261,130
LeapfrogMap,8388608,5,228178542,36763351.74409169,136
LeapfrogMap,8388608,6,203162986,41290040.89357104,145
LeapfrogMap,8388608,7,177928869,47145851.30083641,148
LeapfrogMap,8388608,8,151015528,55547983.11866313,144
LeapfrogMap,8388608,9,140855331,59554778.22845058,151
LeapfrogMap,8388608,10,133448462,62860282.34630385,159
LeapfrogMap,8388608,11,126547548,66288190.74392496,165
LeapfrogMap,8388608,12,121786253,68879761.00225368,174
LeapfrogMap,8388608,13,116256321,72156145.38498944,180
LeapfrogMap,8388608,14,113301964,74037622.15454623,189
LeapfrogMap,8388608,15,99070220,84673355.92875437,177
LeapfrogMap,8388608,16,88369349,94926669.653298,168
LeapfrogMap,8388608,17,85275751,98370379.64051469,172
LeapfrogMap,8388608,18,83604334,100336999.27565956,179
LeapfrogMap,8388608,19,78598458,106727386.43295012,178
LeapfrogMap,8388608,20,76393966,109807206.50109984,182
LeapfrogMap,8388608,21,78168764,107314067.29163583,195
LeapfrogMap,8388608,22,72884504,115094533.6748124,191
LeapfrogMap,8388608,23,70489702,119004730.64845699,193
LeapfrogMap,8388608,24,68334931,122757246.94885547,195
LeapfrogMap,8388608,25,66502794,126139181.46055637,198
LeapfrogMap,8388608,26,64154492,130756362.31364751,198
LeapfrogMap,8388608,27,63066932,133011195.15374553,202
LeapfrogMap,8388608,28,61819300,135695616.094003,206
LeapfrogMap,8388608,29,60307296,139097730.39733034,208
LeapfrogMap,8388608,30,66660235,125841260.53561017,238
LeapfrogMap,8388608,31,60039194,139718864.31386805,221
LeapfrogMap,8388608,32,72846484,115154603.75548118,277
LeapfrogMap,8388608,33,70993415,118160367.40872374,279
LeapfrogMap,8388608,34,73399549,114286914.76019832,297
LeapfrogMap,8388608,35,74112106,113188093.72385128,309
LeapfrogMap,8388608,36,69720774,120317195.56068037,299
LeapfrogMap,8388608,37,73432180,114236129.17388535,323
LeapfrogMap,8388608,38,72070906,116393819.16469872,326
LeapfrogMap,8388608,39,69852826,120089744.11428966,324
