name,total_ops,threads,spent,throughput,latency
RwLock<FxHashMap>,16777216,1,1739225172,9646373.724402374,103
RwLock<FxHashMap>,16777216,2,2741553526,6119601.839209175,326
RwLock<FxHashMap>,16777216,3,3894573754,4307843.954108873,696
RwLock<FxHashMap>,16777216,4,4454708680,3766175.7940139873,1062
RwLock<FxHashMap>,16777216,5,5889829002,2848506.466707775,1755
RwLock<FxHashMap>,16777216,6,6443138600,2603888.7321157423,2304
RwLock<FxHashMap>,16777216,7,7922899221,2117560.1925531547,3305
RwLock<FxHashMap>,16777216,8,10852139159,1545982.3868998361,5174
FxLeapfrogMap,16777216,1,1694141409,9903078.875749268,100
FxLeapfrogMap,16777216,2,1016436755,16505912.362446988,121
FxLeapfrogMap,16777216,3,759413921,22092320.84909331,135
FxLeapfrogMap,16777216,4,620513852,27037617.203749385,147
FxLeapfrogMap,16777216,5,541756021,30968213.272520326,161
FxLeapfrogMap,16777216,6,503709566,33307320.591961913,180
FxLeapfrogMap,16777216,7,472603078,35499591.05429271,197
FxLeapfrogMap,16777216,8,440915608,38050855.30108973,210
FxLeapfrogMap,16777216,9,419446251,39998488.3879675,225
FxLeapfrogMap,16777216,10,408301626,41090250.274927884,243
FxLeapfrogMap,16777216,11,396235466,42341530.3263136,259
FxLeapfrogMap,16777216,12,387018809,43349872.434752904,276
FxLeapfrogMap,16777216,13,374176657,44837687.45627549,289
FxLeapfrogMap,16777216,14,366356134,45794827.60891892,305
FxLeapfrogMap,16777216,15,359360096,46686363.30729386,321
FxLeapfrogMap,16777216,16,394611131,42515820.46731469,376
FxLeapfrogMap,16777216,17,380036720,44146302.494137935,385
FxLeapfrogMap,16777216,18,382654523,43844290.32346757,410
FxLeapfrogMap,16777216,19,366500036,45776846.79954575,415
FxLeapfrogMap,16777216,20,370282881,45309186.19486489,441
FxLeapfrogMap,16777216,21,366620718,45761778.25280458,458
FxLeapfrogMap,16777216,22,361347117,46429638.45758316,473
FxLeapfrogMap,16777216,23,346412303,48431351.46963877,474
FxLeapfrogMap,16777216,24,355373911,47210038.44314278,508
