name,total_ops,threads,spent,throughput,latency
RwLock<StdHashMap>,16777216,1,2397093215,6998983.558509635,142
RwLock<StdHashMap>,16777216,2,3981186266,4214124.856020992,474
RwLock<StdHashMap>,16777216,3,5464939187,3069973.0456122276,977
RwLock<StdHashMap>,16777216,4,6787169682,2471901.6594640664,1618
RwLock<StdHashMap>,16777216,5,8274171232,2027661.2037124443,2465
RwLock<StdHashMap>,16777216,6,9343786551,1795547.865785146,3341
RwLock<StdHashMap>,16777216,7,11168494715,1502191.3362654978,4659
RwLock<StdHashMap>,16777216,8,12579764333,1333666.955587474,5998
DashMap,16777216,1,3288392235,5101950.984262679,196
DashMap,16777216,2,2025379762,8283491.478868643,241
DashMap,16777216,3,1436067393,11682749.766326599,256
DashMap,16777216,4,1089166396,15403721.655033506,259
DashMap,16777216,5,1006701847,16665526.193278158,300
DashMap,16777216,6,812970962,20636919.13266639,290
DashMap,16777216,7,759689535,22084305.79473495,316
DashMap,16777216,8,693406360,24195359.26956309,330
DashMap,16777216,9,623367803,26913831.480000257,334
DashMap,16777216,10,547104930,30665444.743844658,326
DashMap,16777216,11,514561118,32604904.28272118,337
DashMap,16777216,12,482791795,34750416.58485518,345
DashMap,16777216,13,449219533,37347476.60672182,348
DashMap,16777216,14,430298084,38989752.973197065,359
DashMap,16777216,15,410379715,40882176.6446229,366
DashMap,16777216,16,398126966,42140365.845000304,379
DashMap,16777216,17,389140765,43113488.76543428,394
DashMap,16777216,18,377540831,44438149.79047921,405
DashMap,16777216,19,367661363,45632252.08954034,416
DashMap,16777216,20,355519065,47190763.173277356,423
DashMap,16777216,21,346549704,48412149.2713784,433
DashMap,16777216,22,333891170,50247558.20886189,437
DashMap,16777216,23,328087799,51136360.605717,449
DashMap,16777216,24,341382817,49144875.38486742,488
DashMap,16777216,25,313171955,53571897.90509818,466
DashMap,16777216,26,306654727,54710443.12321981,475
DashMap,16777216,27,312831982,53630117.65210118,503
DashMap,16777216,28,297659406,56363802.59389485,496
DashMap,16777216,29,308820406,54326772.69390029,533
DashMap,16777216,30,305573887,54903958.465534724,546
DashMap,16777216,31,300427980,55844385.73264714,555
DashMap,16777216,32,298772325,56153848.92158268,569
DashMap,16777216,33,308101679,54453503.96808451,606
DashMap,16777216,34,304338696,55126792.02647303,616
DashMap,16777216,35,311387979,53878817.2037945,649
DashMap,16777216,36,313298376,53550280.77132452,672
DashMap,16777216,37,311992965,53774340.71309909,688
DashMap,16777216,38,304292265,55135203.650345825,689
DashMap,16777216,39,302288578,55500661.35810134,702
DashMap,16777216,40,314097613,53414019.41822462,748
DashMap,16777216,41,304150675,55160870.51261682,743
DashMap,16777216,42,306770058,54689874.59004229,767
DashMap,16777216,43,307237581,54606653.0838882,787
DashMap,16777216,44,311539209,53852662.89226536,817
DashMap,16777216,45,308344491,54410623.47373023,827
DashMap,16777216,46,313282575,53552981.68115478,858
DashMap,16777216,47,314569797,53333842.47312211,881
Flurry,16777216,1,4779404330,3510315.269769193,284
Flurry,16777216,2,3956190177,4240750.633661968,471
Flurry,16777216,3,4253547440,3944287.9706074228,760
Flurry,16777216,4,3774101127,4445354.1215351755,899
Flurry,16777216,5,3246506771,5167774.837208248,967
Flurry,16777216,6,3031556955,5534191.2584980605,1084
Flurry,16777216,7,2758514790,6081974.278629842,1150
Flurry,16777216,8,2541919591,6600215.073443682,1212
Flurry,16777216,9,2426779298,6913367.034994379,1301
Flurry,16777216,10,2276776125,7368847.475067405,1357
Flurry,16777216,11,2312421225,7255259.473757857,1516
Flurry,16777216,12,2273513116,7379423.449079411,1626
Flurry,16777216,13,2209425192,7593475.470791138,1711
Flurry,16777216,14,2173881444,7717631.541639858,1814
Flurry,16777216,15,2150612965,7801132.176286308,1922
Flurry,16777216,16,2085010087,8046587.45039443,1988
Flurry,16777216,17,2106587231,7964168.6577753695,2134
Flurry,16777216,18,2064013249,8128443.946824685,2214
Flurry,16777216,19,1949528534,8605781.196532104,2207
Flurry,16777216,20,2077383518,8076128.386804694,2476
Flurry,16777216,21,1945739089,8622541.477862041,2435
Flurry,16777216,22,1867776141,8982455.462257668,2449
Flurry,16777216,23,1885474150,8898141.615996169,2584
Flurry,16777216,24,1827239768,9181726.609619193,2613
Flurry,16777216,25,1806044487,9289481.029267693,2691
Flurry,16777216,26,1756777977,9549992.21281791,2722
Flurry,16777216,27,1747361892,9601454.671073942,2812
Flurry,16777216,28,1719461602,9757249.583523994,2869
Flurry,16777216,29,1693007756,9909710.065143965,2926
Flurry,16777216,30,1722290348,9741223.957669185,3079
Flurry,16777216,31,1599763021,10487313.29563593,2955
Flurry,16777216,32,1652493421,10152667.3491065,3151
Flurry,16777216,33,1801910440,9310793.493154965,3544
Flurry,16777216,34,1947073529,8616631.960795354,3945
