name,total_ops,threads,spent,throughput,latency
RwLock<FxHashMap>,16777216,1,866053903,19372022.852023333,51
RwLock<FxHashMap>,16777216,2,907113495,18495167.465235427,108
RwLock<FxHashMap>,16777216,3,886510809,18924998.803934492,158
RwLock<FxHashMap>,16777216,4,815062667,20583958.362062976,194
RwLock<FxHashMap>,16777216,5,879943080,19066251.421626046,262
RwLock<FxHashMap>,16777216,6,882801454,19004517.860705744,315
RwLock<FxHashMap>,16777216,7,961798071,17443594.976808805,401
RwLock<FxHashMap>,16777216,8,898711122,18668085.427343804,428
RwLock<FxHashMap>,16777216,9,973105882,17240894.6552848,522
RwLock<FxHashMap>,16777216,10,1083918019,15478307.128317976,646
RwLock<FxHashMap>,16777216,11,1108734932,15131854.797554083,726
RwLock<FxHashMap>,16777216,12,1213755627,13822564.960186997,868
RwLock<FxHashMap>,16777216,13,1233153007,13605137.322590172,955
RwLock<FxHashMap>,16777216,14,1374438978,12206592.121254582,1146
RwLock<FxHashMap>,16777216,15,1346658200,12458407.040479908,1204
RwLock<FxHashMap>,16777216,16,1428865297,11741635.852746166,1362
RwLock<FxHashMap>,16777216,17,1528108657,10979072.674673028,1548
RwLock<FxHashMap>,16777216,18,1538355575,10905941.560357397,1650
RwLock<FxHashMap>,16777216,19,1700595866,9865492.640213205,1925
RwLock<FxHashMap>,16777216,20,1765595201,9502300.408665417,2104
RwLock<FxHashMap>,16777216,21,1758086059,9542886.660248524,2200
RwLock<FxHashMap>,16777216,22,1948912356,8608502.043895913,2555
RwLock<FxHashMap>,16777216,23,2077571672,8075396.977207148,2848
RwLock<FxHashMap>,16777216,24,1765316781,9503799.080466567,2525
RwLock<FxHashMap>,16777216,25,2160694676,7764732.419787756,3219
RwLock<FxHashMap>,16777216,26,2407127646,6969807.366833757,3730
RwLock<FxHashMap>,16777216,27,2371887220,7073361.607808654,3817
RwLock<FxHashMap>,16777216,28,2567907305,6533419.632138941,4285
RwLock<FxHashMap>,16777216,29,2595252684,6464578.999737969,4485
RwLock<FxHashMap>,16777216,30,2631304643,6376006.687265212,4705
RwLock<FxHashMap>,16777216,31,2670848775,6281604.618367058,4935
RwLock<FxHashMap>,16777216,32,2752718674,6094780.465023285,5250
RwLock<FxHashMap>,16777216,33,2801855208,5987895.4316043295,5511
RwLock<FxHashMap>,16777216,34,2736696762,6130462.1808881285,5546
RwLock<FxHashMap>,16777216,35,2759676677,6079413.628352377,5757
RwLock<FxHashMap>,16777216,36,2827818149,5932918.991248755,6067
RwLock<FxHashMap>,16777216,37,2910265802,5764839.757409897,6418
RwLock<FxHashMap>,16777216,38,2794197359,6004306.011513913,6328
RwLock<FxHashMap>,16777216,39,2888706877,5807863.7654726645,6715
RwLock<FxHashMap>,16777216,40,2923163697,5739403.515861329,6969
RwLock<FxHashMap>,16777216,41,2887869607,5809547.619232242,7057
RwLock<FxHashMap>,16777216,42,2993123207,5605254.057288127,7492
RwLock<FxHashMap>,16777216,43,2966751495,5655079.647983796,7603
RwLock<FxHashMap>,16777216,44,2970601077,5647751.268219176,7790
RwLock<FxHashMap>,16777216,45,3050232131,5500307.937055169,8181
RwLock<FxHashMap>,16777216,46,3021979515,5551730.551687741,8285
RwLock<FxHashMap>,16777216,47,3047583575,5505088.076214612,8537
FxLeapfrogMap,16777216,1,940390773,17840685.4700179,56
FxLeapfrogMap,16777216,2,493645411,33986370.83653554,58
FxLeapfrogMap,16777216,3,353983534,47395470.09551015,63
FxLeapfrogMap,16777216,4,259526292,64645535.02733357,61
FxLeapfrogMap,16777216,5,215135643,77984362.63766855,64
FxLeapfrogMap,16777216,6,194375672,86313353.04142383,69
FxLeapfrogMap,16777216,7,171803061,97653766.48324095,71
FxLeapfrogMap,16777216,8,143883407,116602854.69887435,68
FxLeapfrogMap,16777216,9,129181813,129872894.72396551,69
FxLeapfrogMap,16777216,10,124880186,134346500.7331107,74
FxLeapfrogMap,16777216,11,118563198,141504415.2233478,77
FxLeapfrogMap,16777216,12,118663147,141385227.2095902,84
FxLeapfrogMap,16777216,13,118214846,141921396.23478425,91
FxLeapfrogMap,16777216,14,113011223,148456193.59415305,94
FxLeapfrogMap,16777216,15,118474207,141610705.1891894,105
